dep=0,dep=1,dep=2,dep=3,dep=4,dep=5,dep=6,dep=7,dep=8
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0
279,26,0,0,0,0,0,0,0
932,238,45,4,0,0,0,0,0
2417,1128,303,62,6,0,0,0,0
4506,3646,1501,453,84,13,3,0,0
5991,8317,5232,2279,705,169,28,1,0
5466,11716,11867,7542,3276,1031,224,37,2
4276,12048,15658,12612,6751,2655,673,145,15
4998,10756,12117,9801,5673,2530,774,177,23
5429,5908,4098,2596,1320,601,196,53,7
2226,976,290,97,10,1,1,0,0
76,9,6,3,0,0,0,0,0
0,2,1,0,0,0,0,0,0
